Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.152 1.188 937.497 1698.054
2.1 2.151 1.245 984.924 1701.349
2.2 2.152 1.302 1031.334 1704.241
2.3 2.155 1.359 1076.593 1706.786
2.4 2.160 1.416 1120.574 1709.030
2.5 2.168 1.474 1163.161 1711.013
2.6 2.178 1.531 1204.249 1712.769
2.7 2.190 1.589 1243.745 1714.326
2.8 2.204 1.646 1281.568 1715.709
2.9 2.220 1.704 1317.649 1716.939
3.0 2.238 1.761 1351.934 1718.036
3.1 2.259 1.819 1384.378 1719.016
3.2 2.281 1.877 1414.953 1719.893
3.3 2.306 1.934 1443.639 1720.680
3.4 2.332 1.992 1470.430 1721.388
3.5 2.361 2.050 1495.330 1722.027
3.6 2.391 2.108 1518.353 1722.607
3.7 2.424 2.166 1539.522 1723.135
3.8 2.459 2.224 1558.870 1723.619
3.9 2.495 2.282 1576.436 1724.064
4.0 2.534 2.340 1592.266 1724.477
4.1 2.574 2.398 1606.411 1724.863
4.2 2.617 2.455 1618.928 1725.226
4.3 2.661 2.513 1629.876 1725.572
4.4 2.707 2.571 1639.319 1725.904
4.5 2.755 2.629 1647.322 1726.225
4.6 2.805 2.687 1653.953 1726.539
4.7 2.857 2.745 1659.278 1726.849
4.8 2.911 2.803 1663.368 1727.157
4.9 2.966 2.861 1666.289 1727.467
5.0 3.023 2.919 1668.109 1727.780
5.1 3.082 2.977 1668.894 1728.099
5.2 3.143 3.035 1668.711 1728.426
5.3 3.206 3.092 1667.621 1728.762
5.4 3.270 3.150 1665.687 1729.109
5.5 3.336 3.208 1662.968 1729.469
5.6 3.404 3.265 1659.522 1729.843
5.7 3.473 3.323 1655.402 1730.233
5.8 3.544 3.380 1650.663 1730.640
5.9 3.617 3.438 1645.354 1731.066
6.0 3.691 3.495 1639.523 1731.510
