Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.156 1.162 924.244 1715.664
2.1 2.147 1.218 974.642 1718.451
2.2 2.141 1.274 1023.996 1720.940
2.3 2.138 1.330 1072.117 1723.170
2.4 2.138 1.386 1118.828 1725.174
2.5 2.140 1.443 1163.971 1726.980
2.6 2.146 1.499 1207.405 1728.610
2.7 2.154 1.555 1249.010 1730.085
2.8 2.165 1.611 1288.686 1731.422
2.9 2.179 1.668 1326.355 1732.637
3.0 2.195 1.724 1361.958 1733.741
3.1 2.214 1.781 1395.458 1734.747
3.2 2.235 1.837 1426.836 1735.665
3.3 2.258 1.894 1456.092 1736.503
3.4 2.284 1.950 1483.243 1737.269
3.5 2.312 2.007 1508.320 1737.970
3.6 2.343 2.063 1531.368 1738.613
3.7 2.375 2.120 1552.443 1739.203
3.8 2.409 2.177 1571.612 1739.744
3.9 2.446 2.233 1588.949 1740.242
4.0 2.484 2.290 1604.536 1740.700
4.1 2.524 2.347 1618.457 1741.122
4.2 2.566 2.403 1630.803 1741.511
4.3 2.610 2.460 1641.664 1741.870
4.4 2.655 2.517 1651.133 1742.203
4.5 2.702 2.573 1659.304 1742.511
4.6 2.751 2.630 1666.266 1742.796
4.7 2.801 2.687 1672.111 1743.062
4.8 2.852 2.744 1676.926 1743.309
4.9 2.905 2.800 1680.797 1743.539
5.0 2.959 2.857 1683.805 1743.755
5.1 3.014 2.914 1686.030 1743.957
5.2 3.071 2.971 1687.547 1744.148
5.3 3.128 3.028 1688.427 1744.327
5.4 3.186 3.085 1688.738 1744.497
5.5 3.246 3.141 1688.545 1744.659
5.6 3.306 3.198 1687.908 1744.813
5.7 3.367 3.255 1686.883 1744.960
5.8 3.429 3.312 1685.525 1745.102
5.9 3.491 3.369 1683.883 1745.239
6.0 3.555 3.426 1682.004 1745.372
