Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.142 1.143 942.051 1766.424
2.1 2.133 1.200 993.458 1766.173
2.2 2.127 1.257 1043.767 1765.971
2.3 2.124 1.314 1092.780 1765.809
2.4 2.124 1.372 1140.314 1765.682
2.5 2.127 1.429 1186.206 1765.583
2.6 2.133 1.486 1230.312 1765.508
2.7 2.141 1.543 1272.508 1765.453
2.8 2.152 1.601 1312.693 1765.415
2.9 2.166 1.658 1350.790 1765.390
3.0 2.183 1.715 1386.741 1765.377
3.1 2.202 1.772 1420.511 1765.372
3.2 2.224 1.829 1452.086 1765.374
3.3 2.248 1.886 1481.469 1765.381
3.4 2.274 1.944 1508.681 1765.392
3.5 2.303 2.001 1533.761 1765.406
3.6 2.334 2.058 1556.758 1765.420
3.7 2.367 2.115 1577.735 1765.435
3.8 2.402 2.172 1596.765 1765.449
3.9 2.439 2.229 1613.927 1765.461
4.0 2.477 2.286 1629.310 1765.471
4.1 2.518 2.344 1643.004 1765.478
4.2 2.561 2.401 1655.104 1765.480
4.3 2.605 2.458 1665.707 1765.479
4.4 2.651 2.515 1674.910 1765.473
4.5 2.699 2.572 1682.811 1765.461
4.6 2.748 2.629 1689.504 1765.444
4.7 2.798 2.687 1695.083 1765.421
4.8 2.850 2.744 1699.640 1765.391
4.9 2.903 2.801 1703.263 1765.354
5.0 2.958 2.858 1706.036 1765.311
5.1 3.013 2.915 1708.041 1765.259
5.2 3.070 2.973 1709.354 1765.201
5.3 3.128 3.030 1710.050 1765.134
5.4 3.186 3.087 1710.197 1765.059
5.5 3.246 3.145 1709.862 1764.977
5.6 3.306 3.202 1709.104 1764.885
5.7 3.368 3.259 1707.984 1764.785
5.8 3.430 3.317 1706.553 1764.676
5.9 3.492 3.374 1704.863 1764.558
6.0 3.555 3.432 1702.961 1764.431
