Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.141 1.167 936.922 1719.445
2.1 2.139 1.225 984.687 1719.905
2.2 2.140 1.283 1031.413 1720.277
2.3 2.142 1.341 1076.957 1720.574
2.4 2.147 1.399 1121.185 1720.810
2.5 2.155 1.457 1163.979 1720.993
2.6 2.164 1.515 1205.227 1721.133
2.7 2.176 1.574 1244.834 1721.236
2.8 2.190 1.632 1282.716 1721.309
2.9 2.206 1.690 1318.806 1721.357
3.0 2.224 1.748 1353.047 1721.384
3.1 2.245 1.806 1385.398 1721.395
3.2 2.267 1.865 1415.831 1721.393
3.3 2.292 1.923 1444.331 1721.382
3.4 2.319 1.981 1470.895 1721.363
3.5 2.348 2.040 1495.532 1721.340
3.6 2.379 2.098 1518.260 1721.314
3.7 2.411 2.156 1539.109 1721.288
3.8 2.446 2.215 1558.115 1721.262
3.9 2.483 2.273 1575.324 1721.240
4.0 2.522 2.331 1590.786 1721.222
4.1 2.563 2.389 1604.559 1721.208
4.2 2.606 2.448 1616.705 1721.202
4.3 2.651 2.506 1627.287 1721.203
4.4 2.697 2.564 1636.375 1721.212
4.5 2.746 2.623 1644.038 1721.230
4.6 2.796 2.681 1650.347 1721.259
4.7 2.848 2.739 1655.373 1721.298
4.8 2.902 2.797 1659.188 1721.349
4.9 2.958 2.855 1661.863 1721.412
5.0 3.015 2.914 1663.468 1721.487
5.1 3.074 2.972 1664.070 1721.575
5.2 3.135 3.030 1663.738 1721.677
5.3 3.198 3.088 1662.535 1721.793
5.4 3.262 3.146 1660.525 1721.923
5.5 3.328 3.204 1657.767 1722.068
5.6 3.396 3.262 1654.319 1722.228
5.7 3.465 3.320 1650.236 1722.404
5.8 3.536 3.378 1645.570 1722.595
5.9 3.608 3.435 1640.373 1722.803
6.0 3.682 3.493 1634.690 1723.026
